id,description
60732,"Title: Receipt for a Grain Loan. Date: December, 402 B.C.E.. Culture: Aramaic. Classification: Document. Medium: Papyrus, ink, mud."
78060,"Title: Relief of Sandaled Feet of a Royal Woman. Date: 1352-1332 B.C.. Classification: Sculpture. Medium: Limestone, pigment."
96223,"Title: Maize God Emerging from a Flower. Date: 600-900. Culture: Maya. Classification: Sculpture. Medium: Ceramic, pigment."
104137,"Title: Bowl with Peacock Motif. Date: ca. 1200–1230. Classification: Ceramic. Medium: Ceramic; fritware, painted in luster on a transparent glaze with touches of cobalt blue under the glaze."
157592,Title: Hunter on Horseback Attacked by a Lion. Date: mid 18th century. Classification: Painting. Medium: Oil on canvas.
157598,"Title: Khusraw Discovers Shirin Bathing, From Pictorial Cycle of Eight Poetic Subjects. Date: mid 18th century. Classification: Painting. Medium: Oil on canvas."
969,Title: Punch Bowl. Date: 1792. Culture: American. Classification: Food/Drink. Medium: Earthenware.
1223,Title: Tropical Scenery. Date: 1873. Artist: Frederic Edwin Church. Classification: Painting. Medium: Oil on canvas.
1588,"Title: ""Pedestal"" Armchair and Seat Cushion. Date: Designed 1956; Manufactured ca. 1970. Designer: Eero Saarinen. Classification: Furniture. Medium: Plastic reinforced with fiberglass, wool."
1589,"Title: ""Diamond"" Armchair. Date: Designed 1952; Manufactured ca. 1970. Designer: Harry Bertoia. Classification: Furniture. Medium: Steel, plastic, rubber, cotton."
1798,"Title: Table. Date: ca. 1865. Maker: Leon Marcotte. Classification: Furniture. Medium: Ebonized woods, brass, gilded metal."
2104,"Title: Corner Chair (Modern Gothic style). Date: ca. 1875. Designer and Manufacturer: Kimbel and Cabus. Classification: Furniture. Medium: Painted soft maple, paper, gilding, copper alloy, rubber, modern textile."
2125,"Title: Armchair (Egyptian Revival style). Date: ca. 1870. Maker: Pottier & Stymus Manufacturing Company. Classification: Furniture. Medium: Rosewood, burl walnut, gilt and patinated metal mounts, original upholstery."
2156,"Title: Armchair. Date: designed: 1869; patented: March 30, 1869. Manufacturer: George Jacob Hunzinger. Classification: Furniture. Medium: Wood, original upholstery."
2191,"Title: Cocktail Glass, One of Eight. Date: 1937. Designer: Norman Bel Geddes. Classification: Food/Drink. Medium: Chrome-plated metal."
2428,"Title: Side Chair, Model 304. Date: ca. 1875. Designer and Manufacturer: Kimbel and Cabus. Classification: Furniture. Medium: Ash, original stained, gilt, and patent leather upholstery."
2526,Title: Salt Shaker. Date: Patented 1928. Designer: Elsa Tennhardt. Classification: Food/Drink. Medium: Silverplate.
2527,Title: Pepper Shaker. Date: Patented 1928. Designer: Elsa Tennhardt. Classification: Food/Drink. Medium: Silverplated metal.
3256,Title: Shrine with an Image of a Bodhisattva. Date: 1736-1795. Classification: Sculpture. Medium: Shrine: Cloisonné enamel on copper alloy; Image: Copper with semiprecious stones.
3265,"Title: Ritual Knife. Date: ca. 3300-3100 B.C.E.. Classification: Tool. Medium: Flint, elephant ivory."
3357,"Title: Cartonnage of Nespanetjerenpare. Date: ca. 945-718 B.C.E.. Classification: Funerary Object. Medium: Cartonnage, pigment, glass, lapis lazuli."
3446,"Title: Statue of Queen Ankhnes-meryre II and Her Son, Pepy II. Date: ca. 2288-2224 or 2194 B.C.E.. Classification: Sculpture. Medium: Egyptian alabaster."
3448,"Title: Kneeling Statuette of Pepy I. Date: ca. 2338-2298 B.C.E.. Classification: Sculpture. Medium: Greywacke, alabaster, obsidian, copper."
3463,Title: Princess Sobeknakht Suckling a Prince. Date: ca. 1700-after 1630 B.C.E.. Classification: Sculpture. Medium: Copper alloy.
3496,"Title: Amunhotep III. Date: ca. 1390-1352 B.C.E.. Classification: Sculpture. Medium: Wood, gold leaf, glass, pigment."
3523,Title: Falcon Head Endpiece of a Necklace. Date: ca. 1938-1759 B.C.E.. Classification: Jewelry. Medium: Faience.
3543,Title: Model of a Temple Gateway. Date: ca. 1290-1279 B.C.E.. Classification: Model. Medium: Quartzite.
3568,"Title: Hairdressing Scene. Date: ca. 2008-1957 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Limestone, pigment."
3574,Title: Statue of a Priest of Amun. Date: 381-362 B.C.E.. Classification: Sculpture. Medium: Diorite.
3578,"Title: Detail from an Offering Scene. Date: ca. 1938-1909 B.C.E. or earlier. Classification: Sculpture. Medium: Limestone, pigment."
3593,"Title: Statue of Metjetji. Date: ca. 2371-2288 B.C.E.. Classification: Sculpture. Medium: Wood, pigment."
3599,"Title: Sunk Relief of Queen Neferu. Date: ca. 2008-1957 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3605,Title: Wine Vessel (Zun) in the Form of a Goose. Date: 206 B.C.E.-220 C.E.. Classification: Food/Drink. Medium: Bronze.
3627,Title: Doorjamb of Thaasetimu. Date: ca. 381-362 B.C.E.. Classification: Sculpture. Medium: Limestone.
3636,"Title: Statue of Ipepy. Date: ca. 1870-1750 B.C.E.. Classification: Sculpture. Medium: Quartzite, limestone."
3705,"Title: Jewelry Box (?) with Lid. Date: ca. 1539-1425 B.C.E.. Classification: Container. Medium: Wood, bronze."
3726,"Title: Relief with Desert Scene. Date: ca. 2472-2455 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3762,"Title: Donation Stela. Date: year 22 of Sheshenq III, ca. 804 B.C.E.. Classification: Sculpture. Medium: Limestone."
3807,Title: Egyptian Man in a Persian Costume. Date: ca. 343-332 B.C.E.. Classification: Sculpture. Medium: Granite.
3839,Title: Detail from a Row of Foreigners. Date: ca. 1353-1336 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Sandstone.
3931,"Title: Decorated Jug. Date: ca. 1575-1500 B.C.E.. Culture: Greek. Classification: Vessel. Medium: Clay, pigment."
3969,Title: Senenu Grinding Grain. Date: ca. 1352-1336 B.C.E. or ca. 1322-1319 B.C.E. or ca. 1319-1292 B.C.E.. Classification: Funerary Object. Medium: Limestone.
3972,Title: Shabty of Sati. Date: ca. 1390-1352 B.C.E.. Classification: Funerary Object. Medium: Faience.
3974,Title: Shabti Coffin of Iuy. Date: ca. 1539-1400 B.C.E.. Classification: Funerary Object. Medium: Limestone.
3979,Title: Shabty of Psamtek. Date: 664-525 B.C.E.. Classification: Funerary Object. Medium: Faience.
3995,"Title: Amun-Re in a Crown with Tall Plumes. Date: ca. 760-656 B.C.E.. Classification: Sculpture. Medium: Bronze, gold."
4031,Title: Striding Figure of a Priest. Date: ca. 1070-656 B.C.E.. Classification: Sculpture. Medium: Bronze.
4037,Title: One of the Souls of Buto in the Pose of Rejoicing. Date: ca. 664-525 B.C.E. or later. Classification: Sculpture. Medium: Bronze.
4038,Title: Headrest with Birth Gods on Base and Neck Support. Date: ca. 1390-1292 B.C.E.. Classification: Furniture. Medium: Wood.
4039,Title: Headrest with Two Images of the God Bes. Date: ca. 1539-1190 B.C.E.. Classification: Furnishing. Medium: Wood.
4041,"Title: ""Marriage Scarab"" of Amunhotep III and Queen Tiye. Date: ca. 1390-1353 B.C.E.. Classification: Document. Medium: Faience."
4081,Title: Hollow Cylindrical Amulet. Date: ca. 1938-1759 B.C.E.. Classification: Jewelry. Medium: Gold.
4086,Title: Scarab of the Lady Mutnodjmet. Date: ca. 1336-1327 B.C.E.. Classification: Document. Medium: Gold.
4090,"Title: Scarab of Thutmose III Mounted in Ring. Date: ca. 1479-1425 B.C.E.. Classification: Jewelry. Medium: Steatite, glaze, gold."
4094,Title: The Cheops Ring. Date: ca. 664-404 B.C.E.. Classification: Jewelry. Medium: Gold.
4139,Title: Stela with Sculptor’s “Signature”. Date: ca. 1836-1759 B.C.E.. Classification: Sculpture. Medium: Limestone.
4166,Title: Relief of Mourners Before a Tomb. Date: ca. 1295-1190 B.C.E.. Classification: Sculpture. Medium: Limestone.
4304,Title: Ritual Tripod Vessel (Ding). Date: 12th-11th century B.C.E.. Classification: Ceremonial. Medium: Cast bronze with inlay.
4309,"Title: Relief of Mourning Women. Date: 381-343 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
5081,"Title: Eagle Platform Pipe. Date: 1-400 C.E.. Culture: Hopewell. Classification: Smoking/Drugs. Medium: Stone, lead eyes."
5082,Title: Panther Effigy Pipe. Date: 100 BCE - 500 C.E.. Culture: Eastern Woodlands. Classification: Smoking/Drugs. Medium: Black Steatite.
11506,Title: Coffee Pot. Date: ca. 1765. Maker: Daniel Christian Fueter. Classification: Food/Drink. Medium: Silver with wooden handle.
20161,"Title: Twin Vases with Carved Stand. Date: 1736-1795. Classification: Vessel. Medium: Cloisonné enamel on copper alloy, gilt bronze."
60794,"Title: Scene from a Magical Papyrus. Date: 664-525 B.C.E.. Classification: Document. Medium: Papyrus, ink."
65922,Title: Wine Jar with Eight Immortals. Date: 1271-1368. Classification: Vessel. Medium: High-fired green ware (celadon).
66256,Title: Wine Jar with Fish and Aquatic Plants. Date: 14th century. Classification: Ceramic. Medium: Porcelain with underglaze cobalt blue decoration.
66608,Title: Relief Blocks from the Tomb of the Vizier Nespeqashuty. Date: ca. 664-610 B.C.E.. Classification: Sculpture. Medium: Limestone.
67869,"Title: Ewer with Phoenix Head. Date: ca. 10th century. Classification: Ceramic. Medium: Qingbai ware, stoneware, translucent glaze."
70567,"Title: Apkallu-figure with Armlets. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone, pigment."
70568,Title: Kneeling and Standing Apkallu-figures Fertilize the Sacred Tree. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone.
70569,"Title: Apkallu-figure. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone, pigment."
70570,"Title: Apkallu-figure. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone, pigment."
70571,"Title: Apkallu-figure. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone, pigment."
70572,Title: Sacred Tree. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone.
70573,Title: Apkallu-figure Fertilizing the Sacred Tree. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone.
70574,Title: Apkallu-figure Fertilizing the Sacred Tree. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone.
70575,Title: Apkallu-figure Wearing Fancy Bracelets. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone.
70576,Title: Apkallu-figure. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone.
70577,"Title: Apkallu-figure and King Ashur-nasir-pal II. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone, pigment."
76820,"Title: Engraved Conch Shell. Date: 1200-1500 C.E.. Culture: Mississippian. Classification: Vessel. Medium: Conch shell, pigment."
86005,"Title: Tetrapod Bowl with Lid. Date: 350-450. Culture: Maya. Classification: Vessel. Medium: Ceramic, pigment."
97682,"Title: Pair of Crossbow Mounts. Date: 770-256 B.C.E.. Classification: Arms and Armor. Medium: Bronze, inlaid with silver."
102325,Title: Vase. Date: ca. 1900. Maker: George E. Ohr. Classification: Ceramic. Medium: Glazed earthenware.
112519,Title: Baby Oil Pourer. Date: ca. 1940. Maker: Eva Zeisel. Classification: Ceramic. Medium: Glazed earthenware.
115769,"Title: Salt or Pepper Shaker, One of Pair. Date: ca. 1907. Maker: Tiffany & Company. Classification: Food/Drink. Medium: Silver, turquoise."
116772,"Title: Seated Statue of Nakhtsaes. Date: ca. 2371–2298 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
116784,"Title: Coffin of the Lady of the House, Weretwahset, Reinscribed for Bensuipet Containing Face Mask and Openwork Body Covering. Date: ca. 1292-1190 B.C.E.. Classification: Funerary Object. Medium: Wood, pigment (fragments a, b); Cartonnage, wood (fragment c); Cartonnage (fragment d)
."
116840,Title: Sa-ese Grinding Grain. Date: ca. 1390-1352 B.C.E.. Classification: Sculpture. Medium: Bronze.
124142,Title: Flask. Date: 1925-1930. Maker: The Napier Company. Classification: Food/Drink. Medium: Sterling silver and cork.
149031,"Title: Cizhou Ware Pillow in the Form of a Tiger. Date: 1182. Classification: Ceramic. Medium: Cizhou ware, earthenware, painted slip decoration with transparent glaze."
156762,"Title: Funerary Figure. Date: 3rd-2nd century B.C.E.. Classification: Funerary Object. Medium: Wood, traces of textile and polychrome decoration."
157684,"Title: Salt or Pepper Shaker, One of Pair. Date: ca. 1907. Maker: Tiffany & Company. Classification: Food/Drink. Medium: Silver, turquoise."
194065,"Title: Cartonnage and Mummy of an Anonymous Man. Date: 3rd century C.E.. Classification: Remains, Human. Medium: Human remain, wood (Ficus sycomorus, sycomore fig), grass, linen, plaster, pigment."
215686,"Title: Clock. Date: 1883. Maker: Daniel Cottier. Classification: Time, Calendar. Medium: Mahogany, brass, other metals, glass."
224830,Title: Vessel. Date: ca. 1960. Artist: Suzuki Osamu. Classification: Vessel. Medium: Glazed porcelain.
162,"Title: Mrs. Alexander Cumming, née Elizabeth Goldthwaite, later Mrs. John Bacon. Date: 1770. Artist: John Singleton Copley. Classification: Painting. Medium: Oil on canvas."
168,Title: Winter Scene in Brooklyn. Date: ca. 1819-1820. Artist: Francis Guy. Classification: Painting. Medium: Oil on canvas.
459,Title: The Sisters. Date: 1884. Artist: Abbott H. Thayer. Classification: Painting. Medium: Oil on canvas.
611,Title: Shooting for the Beef. Date: 1850. Artist: George Caleb Bingham. Classification: Painting. Medium: Oil on canvas.
624,"Title: Pier Table. Date: ca. 1815-1819. Maker: Charles-Honoré Lannuier. Classification: Furniture. Medium: Marble, rosewood, ormolu, gesso."
697,Title: Moonlight. Date: ca. 1885-1889. Artist: Ralph Albert Blakelock. Classification: Painting. Medium: Oil on canvas.
1171,Title: Virgin of Quito. Date: second half 18th century. Artist: Unknown. Classification: Sculpture. Medium: Polychromed wood and silver.
1246,"Title: Armchair. Date: 1750-1800. Classification: Furniture. Medium: Mahogany, upholstery."
1252,Title: Mrs. Sylvester (Abigail Pickman) Gardiner. Date: ca. 1772. Artist: John Singleton Copley. Classification: Painting. Medium: Oil on canvas.
1290,Title: Still Life with Fruit. Date: ca. 1860. Artist: Severin Roesen. Classification: Painting. Medium: Oil on canvas.
2301,"Title: Capac Yupanqui, Fifth Inca, 1 of 14 Portraits of Inca Kings. Date: mid-18th century (probably). Artist: Unknown. Classification: Painting. Medium: Oil on canvas."
2305,"Title: Urco, Ninth Inca, 1 of 14 Portraits of Inca Kings. Date: mid-18th century (probably). Artist: Unknown. Classification: Painting. Medium: Oil on canvas."
2378,"Title: Cane. Date: 1865-1900. Culture: American. Classification: Accessories. Medium: Wood, metal."
2458,"Title: Meat Slicer. Date: ca. 1935. Designer: Egmont Arens. Classification: Food/Drink. Medium: Steel, aluminum, rubber, electrical wiring."
2983,"Title: Figure of a Mother Holding a Child  (Lupingu lwa Cibola). Date: 19th century. Culture: Lulua. Classification: Sculpture. Medium: Wood, copper alloy, palm oil, tukula, organic materials."
3603,Title: Ptolemaic Prince. Date: 51-30 B.C.E.. Classification: Sculpture. Medium: Quartzite.
3606,Title: Alexander the Great. Date: 100 B.C.E. – 100 C.E.. Classification: Sculpture. Medium: Marble.
3684,Title: Cippus of Horus on the Crocodiles. Date: 3rd century B.C.E.. Classification: Sculpture. Medium: Steatite.
3685,Title: Head of a Kushite Ruler. Date: ca. 716-702 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Green schist.
3799,Title: Head of a Queen. Date: 305-30 B.C.E.. Classification: Sculpture. Medium: Marble.
3801,"Title: Stela of Pakhaas. Date: 2nd-1st century B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3805,"Title: Nefertiti. Date: ca. 1352-1336 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3813,"Title: Mummy Mask of a Man. Date: early 1st century C.E.. Classification: Sculpture. Medium: Stucco, gold leaf, pigment."
4007,Title: Handle of a Fly Whisk (?) in the Form of Bound Nubian. Date: ca. 1539-1292 B.C.E.. Culture: Egyptian. Classification: Accessory. Medium: Wood.
4027,"Title: The Goddess Hathor. Date: ca. 664-30 B.C.E. or later. Classification: Sculpture. Medium: Bronze, gold, electrum."
4174,"Title: Illustrated Papyrus. Date: 4th-3rd century B.C.E.. Classification: Document. Medium: Papyrus, pigment, ink."
4225,"Title: Female Figure. Date: ca. 3500-3400 B.C.E.. Classification: Sculpture. Medium: Clay, pigment."
4393,"Title: Portrait of Mlle Fiocre in the Ballet ""La Source"" (Portrait de Mlle...E[ugénie] F[iocre]: à propos du ballet ""La Source""). Date: ca. 1867-1868. Artist: Edgar Degas. Classification: Painting. Medium: Oil on canvas."
4651,"Title: Baleen Whale Mask. Date: 19th century. Culture: Kwakwaka'wakw. Classification: Masks. Medium: Cedar wood, hide, cotton cord, nails, pigment."
4791,"Title: Ndop figure depicting Nyim Mbó Mbóosh (r. ca. 1650), Nyim Mishé miShyááng máMbúl (r. ca. 1710), or Nyim Kot áNée (r. ca. 1740). Date: ca. 1760-1780. Culture: Kuba (Bushoong subgroup). Classification: Sculpture. Medium: Wood (Crossopteryx febrifuga), tukula, fiber."
4822,Title: Prince Yahya. Date: ca. 1830s. Artist: Muhammad Hasan. Classification: Painting. Medium: Oil on canvas.
19432,"Title: Thunderbird Transformation Mask. Date: 19th century. Artist: Namgis. Classification: Masks. Medium: Cedar, pigment, leather, nails, metal plate."
44886,"Title: Figure of a Man. Date: ca. 3500-3300 B.C.E.. Classification: Sculpture. Medium: Terracotta, pigment."
47019,"Title: Mirror Case. Date: AH 1262 / 1845 C.E.. Artist: Lutf 'Ali Suratgar Shirazi. Classification: Container. Medium: Ink, opaque watercolor, metallic pigment, and gold on papier mâché under a lacquered varnish; silvered glass and detailed leather."
50010,"Title: Man Carrying a Cacao Pod. Date: 1440-1521. Culture: Aztec. Classification: Sculpture. Medium: Volcanic stone, traces of red pigment."
54748,"Title: The Wounded Cuirassier, study (Le Cuirassier blessé quittant le feu, esquisse). Date: 1814. Artist: Théodore Géricault. Classification: Painting. Medium: Oil on canvas."
60140,Title: Yoke. Date: 700-900. Culture: Totonac. Classification: Sculpture. Medium: Stone.
84153,"Title: Funerary Mask. Date: 300 B.C.E.-1. Culture: Paracas Cavernas. Classification: Masks. Medium: Ceramic, resin, and pigments."
104783,Title: Jar with Lid. Date: late 19th century. Classification: Ceramic. Medium: Porcelain with under glaze cobalt decoration.
118927,"Title: Life-Death Figure. Date: 900-1250. Culture: Huastec. Classification: Sculpture. Medium: Sandstone, traces of pigment."
124496,"Title: Tunic (Uncu). Date: ca. 17th century. Classification: Clothing. Medium: Camelid fiber, silk, metallic thread."
124817,Title: Relief Representation of Goatherd with Goat and Trees. Date: ca. 1350-1333 B.C.E.. Classification: Sculpture. Medium: Limestone.
125958,"Title: Bowl of Reflections. Date: early 13th century. Classification: Ceramic. Medium: Ceramic; fritware, painted in luster and blue over an opaque white glaze."
152833,"Title: Bowl in the Shape of a Gourd, Kyoto Ware. Date: mid-19th century. Artist: Nin'ami Dohachi. Classification: Ceramic. Medium: Stoneware with underglaze iron oxide decoration."
159680,"Title: Cylindrical Vessel. Date: ca. 550-950 C.E.. Culture: Maya. Classification: Vessel. Medium: Ceramic, pigment."
163797,"Title: Maharana Jawan Singh of Mewar Receiving the Governor General of India, Lord William Cavendish Bentinck, February 8th, 1832. Date: ca. 1832. Artist: Ghasi. Classification: Painting. Medium: Opaque watercolor, gold and silver on cloth."
660,Title: Jug. Date: 1800-1810. Classification: Vessel. Medium: Porcelain.
933,"Title: Traveling Desk (Escritorio). Date: early 18th century. Classification: Furnishing. Medium: Cedar or walnut, citrus and other wood inlays, and iron."
1149,Title: Standing Woman. Date: 1955-1956. Artist: Gaston Lachaise. Classification: Sculpture. Medium: Bronze.
1272,Title: Emblems of the Civil War. Date: 1888. Artist: Alexander Pope. Classification: Painting. Medium: Oil on canvas.
1308,"Title: ""Dragonfly"" Lamp. Date: ca. 1900-1920. Designer: Clara Wolcott Driscoll. Classification: Light. Medium: Glass, bronze, and lead."
1394,Title: Teapot with Cover. Date: ca. 1876. Manufacturer: Union Porcelain Works. Classification: Food/Drink. Medium: Porcelain.
1397,Title: Sugar Bowl and Cover. Date: ca. 1876. Manufacturer: Union Porcelain Works. Classification: Ceramic. Medium: Porcelain.
1399,Title: Vase. Date: ca. 1876. Designer: Karl L. H. Mueller. Classification: Ceramic. Medium: Porcelain.
1416,Title: Statuette of Blacksmith. Date: ca. 1876. Manufacturer: Union Porcelain Works. Classification: Ceramic. Medium: Unglazed porcelain.
1785,"Title: ""Skyscraper"" Step Table. Date: late 1920s. Maker: Paul T. Frankl. Classification: Furniture. Medium: Painted wood."
1799,"Title: Vacuum Cleaner. Date: ca. 1937. Designer: Lurelle Guild. Classification: Tool. Medium: Chromed, polished and enameled steel; cast aluminum; vinyl; rubber."
1890,"Title: Scrimshaw, Whale's Tooth. Date: ca. 1830-1870. Maker: Unknown. Medium: Whale's tooth."
2827,Title: Doña María de la Luz Padilla y Gómez de Cervantes. Date: ca. 1760. Artist: Miguel Cabrera. Classification: Painting. Medium: Oil on canvas.
2980,"Title: Bottle Depicting a Hunting Scene. Date: first half 17th century. Classification: Ceramic. Medium: Ceramic; fritware, painted in cobalt blue and black on an opaque white glaze."
3395,"Title: Relief of a Nobleman. Date: ca. 1295-1070 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3483,Title: Relief of an Aged Courtier. Date: ca. 1336-1250 B.C.E.. Classification: Sculpture. Medium: Limestone.
3519,Title: Sarcophagus. Date: ca. 2555-2532 B.C.E.. Classification: Funerary Object. Medium: Granite.
3539,Title: Relief of Men Presenting Cattle. Date: ca. 2500-2350 B.C.E.. Classification: Sculpture. Medium: Limestone.
3569,Title: King Senwosret III. Date: ca. 1836-1818 B.C.E.. Classification: Sculpture. Medium: Granite.
3579,Title: Ewer (Zhihu). Date: 1279-1368. Classification: Vessel. Medium: Porcelain with copper-red underglaze design.
3615,"Title: Head of Wesirwer, Priest of Montu. Date: ca. 380-342 B.C.E.. Classification: Sculpture. Medium: Schist."
3639,Title: Relief of Akhty-hotep. Date: ca. 2650-2600 B.C.E.. Classification: Sculpture. Medium: Limestone.
3973,Title: Shabty of Lady Sati. Date: ca. 1390-1352 B.C.E.. Classification: Funerary Object. Medium: Faience.
4029,Title: Kneeling Figure of Harbes. Date: ca. 664-610 B.C.E.. Classification: Sculpture. Medium: Bronze.
4082,Title: Circlet. Date: ca. 1295-1070 B.C.E.. Classification: Accessory. Medium: Gold.
4207,Title: Bowl with Alternate Impressed and Red-polished Panels. Date: ca. 3500-3300 B.C.E.. Culture: Nubian. Classification: Vessel. Medium: Clay.
4959,Title: Woman with Three Girls. Date: ca. 1909. Artist: József Rippl-Rónai. Classification: Painting. Medium: Oil on board.
5074,"Title: Bowl with an Enthronement Scene. Date: late 12th-early 13th century. Classification: Ceramic. Medium: Ceramic, mina’i (enameled) or haft rangi (seven colors) ware; in-glaze painted in blue, turquoise, and purple on an opaque white glaze, overglaze painted in red and black, with leaf gilding."
12528,"Title: Portrait of a Gentleman/Mourning Miniature. Date: late 18th century. Artist: Unknown. Classification: Portrait, Miniatures. Medium: Watercolor on ivory with human hair housed in metal locket with glass lenses."
44130,Title: Poporo (Lime Container). Date: 1-600 C.E.. Culture: Quimbaya. Classification: Vessel. Medium: Tumbaga (gold and copper alloy).
52953,Title: The Virgin Mary with Indigenous (Aymara) Donors. Date: 1752. Artist: Unknown. Classification: Painting. Medium: Oil on wood panel.
70578,"Title: Apkallu-figure Between Two Sacred Trees. Date: ca. 883-859 B.C.E.. Culture: Assyrian. Classification: Sculpture. Medium: Gypsum stone, pigment."
97327,Title: Red Blue Chair. Date: ca. 1917-1918. Designer: Gerrit Th. Rietveld. Classification: Furniture. Medium: Painted beechwood.
115344,Title: Seated Divinity. Date: 9th century. Classification: Sculpture. Medium: Volcanic stone.
116774,Title: Tomb Relief of Itwesh. Date: ca. 2475-2345 B.C.E.. Classification: Sculpture. Medium: Limestone.
116843,Title: Shabty of the Lady of the House Iuy. Date: ca. 1539-1400 B.C.E.. Classification: Funerary Object. Medium: Limestone.
117396,Title: Plaque of the Goddess Hathor in Relief. Date: ca. 664-525 B.C.E. or later. Classification: Accessory. Medium: Gold.
